"Departamento","Municipio","Variable","Unidades","Num_Excedencias","Por_Excedencias","Mediana","Percentil98","Max","Min","Dias_Excedencia","Año"
"Antioquia","Barbosa","PM10","ugm3",0,0,29,66.2,93,9,0,"2014"
"Antioquia","Barbosa","O3","ugm3",10,0.11,26.1,86.2,151.9,0.4,5,"2014"
"Antioquia","Barbosa","O3","ugm3",84,0.97,30,75,117.9,1.4,24,"2014"
"Antioquia","Bello","NO","ugm3",0,0,2.6,39,111.2,0,0,"2014"
"Antioquia","Bello","NO2","ugm3",0,0,14.3,47.4,165.4,0,0,"2014"
"Antioquia","Bello","NO2","ugm3",0,0,16.4,28.7,36.6,5.5,0,"2014"
"Antioquia","Bello","O3","ugm3",49,0.6,26,97.4,315.2,0,33,"2014"
"Antioquia","Bello","O3","ugm3",149,1.85,30.8,79.6,116.8,1,44,"2014"
"Antioquia","Bello","PM10","ugm3",0,0,40,91,226,1,0,"2014"
"Antioquia","Bello","PM10","ugm3",0,0,41,71,86,18,0,"2014"
"Antioquia","Caldas","O3","ugm3",139,1.7,18.7,116.6,172,0.1,74,"2014"
"Antioquia","Caldas","O3","ugm3",419,5.14,26.6,92.9,123.3,0.3,102,"2014"
"Antioquia","Caldas","PM2.5","ugm3",0,0,23,62,186,1,0,"2014"
"Antioquia","Caldas","PM2.5","ugm3",6,1.77,23,48,76,7,6,"2014"
"Antioquia","Caldas","PM10","ugm3",1,0.87,46,88.1,101,22,1,"2014"
"Antioquia","Copacabana","PM10","ugm3",0,0,33,71.4,84,6,0,"2014"
"Antioquia","La estrella","PM10","ugm3",0,0,42,70.9,73,27,0,"2014"
"Antioquia","La estrella","PM10","ugm3",0,0,49,76.5,99,22,0,"2014"
"Antioquia","Medellín","NO","ugm3",0,0,26.2,145.1,234,0.3,0,"2014"
"Antioquia","Medellín","NO2","ugm3",15,0.49,45.2,126.3,394.8,1.5,5,"2014"
"Antioquia","Medellín","NO2","ugm3",0,0,50,109.1,146.6,11,0,"2014"
"Antioquia","Medellín","O3","ugm3",26,0.94,10.5,100,210,0,17,"2014"
"Antioquia","Medellín","O3","ugm3",8,0.3,19,68.2,90.7,0.2,3,"2014"
"Antioquia","Medellín","PM10","ugm3",0,0,37,82,143,5,0,"2014"
"Antioquia","Medellín","PM10","ugm3",0,0,38,60.7,72,21,0,"2014"
"Antioquia","Medellín","PM2.5","ugm3",0,0,23,49.1,149,1,0,"2014"
"Antioquia","Medellín","PM2.5","ugm3",0,0,23,34.7,43,13,0,"2014"
"Antioquia","Girardota","PM10","ugm3",0,0,43,97,211,2,0,"2014"
"Antioquia","Girardota","PM10","ugm3",0,0,44,75,88,12,0,"2014"
"Antioquia","Itagüí","NO","ugm3",0,0,9.3,86.4,140.2,0,0,"2014"
"Antioquia","Itagüí","NO2","ugm3",0,0,24.4,72.2,117.6,0,0,"2014"
"Antioquia","Itagüí","NO2","ugm3",0,0,26.3,48.9,57.1,7.8,0,"2014"
"Antioquia","Itagüí","PM2.5","ugm3",0,0,29,74,88,1,0,"2014"
"Antioquia","Itagüí","PM2.5","ugm3",2,1.32,32,49,60,13,2,"2014"
"Antioquia","Itagüí","O3","ugm3",311,3.65,26,133.5,197.9,0,141,"2014"
"Antioquia","Itagüí","O3","ugm3",731,8.64,31.3,100,146,0.1,161,"2014"
"Antioquia","Itagüí","PM10","ugm3",0,0,44,106,128,1,0,"2014"
"Antioquia","Itagüí","PM10","ugm3",0,0,47,75.1,86,20,0,"2014"
"Antioquia","Itagüí","PM2.5","ugm3",0,0,23,60,137,1,0,"2014"
"Antioquia","Itagüí","PM2.5","ugm3",4,1.17,24,47,63,10,4,"2014"
"Antioquia","Itagüí","PST","ugm3",0,0,76.5,121.9,148,35,0,"2014"
"Antioquia","Itagüí","PM10","ugm3",0,0,40,79.4,92,20,0,"2014"
"Antioquia","Medellín","PM10","ugm3",0,0,36,71.7,84,14,0,"2014"
"Antioquia","Medellín","CO","mgm3",0,0,1.7,3.7,7.4,0.2,0,"2014"
"Antioquia","Medellín","CO","mgm3",0,0,1.7,3.1,4.9,0.4,0,"2014"
"Antioquia","Medellín","NO","ugm3",0,0,29.2,164,362.8,0,0,"2014"
"Antioquia","Medellín","NO2","ugm3",0,0,45.8,101.8,182.7,1.9,0,"2014"
"Antioquia","Medellín","NO2","ugm3",0,0,48.9,70.8,78.5,23.5,0,"2014"
"Antioquia","Medellín","PM10","ugm3",0,0,43,116,277,1,0,"2014"
"Antioquia","Medellín","PM10","ugm3",3,0.86,45,90,127,17,3,"2014"
"Antioquia","Medellín","PM2.5","ugm3",0,0,37,72,75,1,0,"2014"
"Antioquia","Medellín","PM2.5","ugm3",13,5.37,37,55,59,17,13,"2014"
"Antioquia","Medellín","CO","mgm3",0,0,1.6,4,7.2,0.1,0,"2014"
"Antioquia","Medellín","CO","mgm3",0,0,1.7,3.3,5.2,0.4,0,"2014"
"Antioquia","Medellín","NO","ugm3",0,0,29.5,164.5,363.3,0.2,0,"2014"
"Antioquia","Medellín","PM2.5","ugm3",0,0,17,32.4,36,4,0,"2014"
"Antioquia","Medellín","O3","ugm3",94,1.11,20.8,108.6,193.4,0.8,52,"2014"
"Antioquia","Medellín","O3","ugm3",137,1.61,26.3,78.4,115.1,1.2,39,"2014"
"Antioquia","Medellín","NO","ugm3",0,0,21.7,168.1,541.7,0.4,0,"2014"
"Antioquia","Medellín","NO2","ugm3",2,0.02,28.7,92.3,257.2,1.1,2,"2014"
"Antioquia","Medellín","NO2","ugm3",0,0,32.9,57.9,65.5,13.6,0,"2014"
"Antioquia","Medellín","PM10","ugm3",0,0,52.4,147.9,176,0.1,0,"2014"
"Antioquia","Medellín","PM10","ugm3",1,0.3,58,94,102,32,1,"2014"
"Antioquia","Medellín","PM2.5","ugm3",0,0,19,43.2,44,5,0,"2014"
"Antioquia","Medellín","NO","ugm3",0,0,14.5,132.1,347.9,0,0,"2014"
"Antioquia","Medellín","NO2","ugm3",0,0,33.8,79.2,147.3,0.4,0,"2014"
"Antioquia","Medellín","NO2","ugm3",0,0,36.6,52.3,61.5,16.6,0,"2014"
"Antioquia","Medellín","O3","ugm3",39,0.49,12,84.4,146.9,0,27,"2014"
"Antioquia","Medellín","O3","ugm3",16,0.2,16.8,60.6,95.6,0.2,6,"2014"
"Antioquia","Medellín","PM2.5","ugm3",0,0,28,63,78,1,0,"2014"
"Antioquia","Medellín","PM2.5","ugm3",9,2.63,29,51.2,57,6,9,"2014"
"Antioquia","Medellín","O3","ugm3",111,1.41,14.9,109.9,241.7,0.1,54,"2014"
"Antioquia","Medellín","O3","ugm3",190,2.43,22,83.2,136.9,0.6,46,"2014"
"Antioquia","Medellín","PM10","ugm3",0,0,33,75.6,85,8,0,"2014"
"Huila","Neiva","PM10","ugm3",0,0,27,55.6,60,4,0,"2014"
"Huila","Neiva","PM10","ugm3",0,0,18,29.1,30,2,0,"2014"
"Cundinamarca","Soacha","NO2","ugm3",0,0,18.8,37.6,43.3,1.9,0,"2014"
"Cundinamarca","Soacha","PM10","ugm3",4,1.15,45,85.1,230,6,4,"2014"
"Cundinamarca","Soacha","NO2","ugm3",0,0,3.1,6.6,6.8,0.2,0,"2014"
"Cundinamarca","Soacha","PM10","ugm3",11,11.58,48,133.1,145,18,11,"2014"
"Cundinamarca","Soacha","PST","ugm3",0,0,82,154.2,157,15,0,"2014"
"Cundinamarca","Sibaté","PM10","ugm3",24,6.84,68,114,139,18,24,"2014"
"Cundinamarca","Mosquera","NO2","ugm3",0,0,4.8,8.2,9,0.1,0,"2014"
