"Departamento","Municipio","Año","Mes","TotalMuestras","IRCA","Riesgo"
"Amazonas","Leticia","2016","Abril",4,24.67,"MEDIO"
"Amazonas","Leticia","2016","Mayo",6,9.68,"BAJO"
"Amazonas","Leticia","2016","Junio",3,0,"SIN RIESGO"
"Amazonas","Leticia","2016","Julio",8,13.06,"BAJO"
"Amazonas","Leticia","2016","Septiembre",11,7.04,"BAJO"
"Amazonas","Leticia","2016","Octubre",3,0,"SIN RIESGO"
"Amazonas","Leticia","2016","Noviembre",5,0,"SIN RIESGO"
"Amazonas","Puerto Nariño","2016","Agosto",4,27.09,"MEDIO"
"Amazonas","Puerto Nariño","2016","Diciembre",3,28.8,"MEDIO"
"Antioquia","Abejorral","2014","Enero",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2014","Febrero",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2014","Marzo",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2014","Abril",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2014","Mayo",3,0,"SIN RIESGO"
"Antioquia","Abejorral","2014","Junio",2,13.27,"BAJO"
"Antioquia","Abejorral","2014","Septiembre",1,0,"SIN RIESGO"
"Antioquia","Abejorral","2014","Noviembre",2,9.68,"BAJO"
"Antioquia","Abejorral","2014","Diciembre",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Enero",2,13.55,"BAJO"
"Antioquia","Abejorral","2015","Febrero",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Marzo",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Abril",2,3.87,"SIN RIESGO"
"Antioquia","Abejorral","2015","Mayo",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Junio",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Julio",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Agosto",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Septiembre",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Octubre",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2015","Noviembre",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Enero",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Febrero",1,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Marzo",1,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Abril",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Mayo",2,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Junio",1,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Julio",4,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Agosto",5,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Septiembre",6,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Octubre",6,3.23,"SIN RIESGO"
"Antioquia","Abejorral","2016","Noviembre",5,0,"SIN RIESGO"
"Antioquia","Abejorral","2016","Diciembre",4,0,"SIN RIESGO"
"Antioquia","Abriaquí","2014","Enero",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2014","Febrero",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2014","Marzo",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2014","Abril",1,97.34,"INVIABLE SANITARIAMENTE"
"Antioquia","Abriaquí","2014","Mayo",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2014","Junio",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2014","Noviembre",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2014","Diciembre",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Enero",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Febrero",1,19.35,"MEDIO"
"Antioquia","Abriaquí","2015","Marzo",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Abril",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Mayo",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Junio",1,19.35,"MEDIO"
"Antioquia","Abriaquí","2015","Julio",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Agosto",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Septiembre",1,0,"SIN RIESGO"
"Antioquia","Abriaquí","2015","Noviembre",1,19.35,"MEDIO"
"Antioquia","Abriaquí","2016","Junio",1,19.35,"MEDIO"
"Antioquia","Abriaquí","2016","Julio",2,0,"SIN RIESGO"
"Antioquia","Abriaquí","2016","Agosto",3,8.85,"BAJO"
"Antioquia","Abriaquí","2016","Septiembre",3,6.45,"BAJO"
"Antioquia","Abriaquí","2016","Octubre",3,12.9,"BAJO"
"Antioquia","Abriaquí","2016","Noviembre",3,6.13,"BAJO"
"Antioquia","Abriaquí","2016","Diciembre",2,13.27,"BAJO"
"Antioquia","Alejandría","2014","Enero",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2014","Febrero",1,38.7,"ALTO"
"Antioquia","Alejandría","2014","Marzo",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2014","Abril",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2014","Mayo",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2014","Junio",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2014","Noviembre",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2014","Diciembre",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Enero",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Febrero",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Marzo",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Abril",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Mayo",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Junio",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Julio",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Agosto",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Septiembre",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Octubre",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2015","Noviembre",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Enero",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Febrero",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Marzo",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Abril",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Mayo",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Junio",1,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Julio",2,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Agosto",3,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Septiembre",3,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Octubre",3,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Noviembre",3,0,"SIN RIESGO"
"Antioquia","Alejandría","2016","Diciembre",2,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Enero",1,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Febrero",1,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Marzo",1,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Abril",1,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Mayo",1,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Junio",1,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Noviembre",1,0,"SIN RIESGO"
"Antioquia","Amagá","2014","Diciembre",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Enero",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Febrero",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Marzo",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Abril",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Mayo",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Junio",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Julio",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Agosto",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Septiembre",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Octubre",1,0,"SIN RIESGO"
"Antioquia","Amagá","2015","Noviembre",1,18.4,"MEDIO"
"Antioquia","Amagá","2016","Enero",1,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Febrero",1,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Marzo",1,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Abril",1,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Mayo",1,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Junio",1,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Julio",2,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Agosto",3,1.17,"SIN RIESGO"
"Antioquia","Amagá","2016","Septiembre",3,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Octubre",2,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Noviembre",4,0,"SIN RIESGO"
"Antioquia","Amagá","2016","Diciembre",3,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Enero",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Febrero",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Marzo",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Abril",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Mayo",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Junio",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Noviembre",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2014","Diciembre",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Enero",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Febrero",2,19.35,"MEDIO"
"Antioquia","Amalfi","2015","Marzo",1,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Abril",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Mayo",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Junio",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Julio",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Agosto",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Septiembre",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Octubre",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Noviembre",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2015","Diciembre",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Febrero",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Marzo",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Abril",1,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Mayo",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Junio",2,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Julio",6,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Agosto",6,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Septiembre",6,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Octubre",6,0,"SIN RIESGO"
"Antioquia","Amalfi","2016","Noviembre",6,0.61,"SIN RIESGO"
"Antioquia","Amalfi","2016","Diciembre",6,0,"SIN RIESGO"
"Antioquia","Andes","2014","Enero",1,0,"SIN RIESGO"
"Antioquia","Andes","2014","Febrero",1,0,"SIN RIESGO"
"Antioquia","Andes","2014","Marzo",3,62.85,"ALTO"
"Antioquia","Andes","2014","Abril",1,0,"SIN RIESGO"
"Antioquia","Andes","2014","Mayo",1,0,"SIN RIESGO"
"Antioquia","Andes","2014","Junio",1,0,"SIN RIESGO"
"Antioquia","Andes","2014","Noviembre",1,0,"SIN RIESGO"
"Antioquia","Andes","2014","Diciembre",1,0,"SIN RIESGO"
"Antioquia","Andes","2015","Enero",1,0,"SIN RIESGO"
"Antioquia","Andes","2015","Febrero",1,0,"SIN RIESGO"
"Antioquia","Andes","2015","Marzo",1,100,"INVIABLE SANITARIAMENTE"
"Antioquia","Andes","2015","Abril",1,0,"SIN RIESGO"
"Antioquia","Andes","2015","Mayo",1,0,"SIN RIESGO"
"Antioquia","Andes","2015","Junio",1,0,"SIN RIESGO"
